country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Lesotho,LSO,LS2004DHS,2004,20,24,0.54462689,0.486542303,0.60152216,229.932786,274.99994
Lesotho,LSO,LS2004DHS,2004,25,29,0.577565198,0.51270111,0.639860114,157.350727,215.134509
Lesotho,LSO,LS2004DHS,2004,30,34,0.609773379,0.538145742,0.676960741,119.032768,186.002208
Lesotho,LSO,LS2004DHS,2004,35,39,0.58317841,0.500551952,0.661382667,96.368699,134.830215
Lesotho,LSO,LS2004DHS,2004,40,44,0.582269869,0.485280273,0.673287705,68.531751,95.525725
Lesotho,LSO,LS2004DHS,2004,45,49,0.602848682,0.51096747,0.688007547,66.866548,101.498871
Lesotho,LSO,LS2004DHS,2004,50,54,0.590611344,0.52272867,0.655207466,123.1576,177.675357
Lesotho,LSO,LS2009DHS,2009,15,19,0.268229098,0.233721899,0.305797871,610.64511,223.830692
Lesotho,LSO,LS2009DHS,2009,20,24,0.62205637,0.563280959,0.677451146,239.778833,394.651314
Lesotho,LSO,LS2009DHS,2009,25,29,0.617171817,0.560179788,0.671114612,177.33429,285.887327
Lesotho,LSO,LS2009DHS,2009,30,34,0.562023798,0.50829762,0.614333684,173.232728,222.297274
Lesotho,LSO,LS2009DHS,2009,35,39,0.638473341,0.570622908,0.701216033,104.978675,185.397352
Lesotho,LSO,LS2009DHS,2009,40,44,0.655208809,0.576184425,0.72649279,67.68382,128.619977
Lesotho,LSO,LS2009DHS,2009,45,49,0.585415392,0.504543947,0.661931356,79.550483,112.329489
Lesotho,LSO,LS2009DHS,2009,50,54,0.552820312,0.486886223,0.61694757,138.379737,171.070224
Lesotho,LSO,LS2014DHS,2014,15,19,0.588663911,0.53869391,0.636869815,284.333299,406.90996
Lesotho,LSO,LS2014DHS,2014,20,24,0.829606049,0.786430883,0.86554518,95.525005,465.087649
Lesotho,LSO,LS2014DHS,2014,25,29,0.765043917,0.705439131,0.815737979,96.246342,313.389114
Lesotho,LSO,LS2014DHS,2014,30,34,0.758196459,0.699742303,0.80838695,80.537258,252.531719
Lesotho,LSO,LS2014DHS,2014,35,39,0.743365508,0.671416319,0.804155573,70.748372,204.929194
